link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_rating,latitude,longitude,cid,status,descriptions,thumbnail,timezone,owner
https://www.google.com/maps/place/Vietcombank+-+Atm/data=!4m7!3m6!1s0x3135abbf93b42b67:0x690111ac5d6b5e03!8m2!3d21!4d105!16s%2Fg%2F1jkw7k0y7!19sChIJZyu0k7-rNTERA15rXawRAWk?authuser=0&hl=vi&rclk=1,Vietcombank - Atm,ATM,"110 P. Cầu Gỗ, Hàng Đào, Hoàn Kiếm, Hà Nội","{""Chủ Nhật"":[""Mở cửa cả ngày""],""Thứ Ba"":[""Mở cửa cả ngày""],""Thứ Bảy"":[""Mở cửa cả ngày""],""Thứ Hai"":[""Mở cửa cả ngày""],""Thứ Năm"":[""Mở cửa cả ngày""],""Thứ Sáu"":[""Mở cửa cả ngày""],""Thứ Tư"":[""Mở cửa cả ngày""]}","{""Friday"":{""0"":37,""1"":43,""10"":43,""11"":62,""12"":56,""13"":43,""14"":25,""15"":25,""16"":25,""17"":31,""18"":18,""19"":31,""2"":37,""20"":18,""21"":37,""22"":37,""23"":43,""3"":31,""4"":18,""5"":25,""6"":18,""7"":31,""8"":25,""9"":31},""Monday"":{""0"":31,""1"":56,""10"":75,""11"":50,""12"":25,""13"":18,""14"":25,""15"":43,""16"":56,""17"":56,""18"":68,""19"":81,""2"":68,""20"":37,""21"":18,""22"":18,""23"":31,""3"":62,""4"":37,""5"":25,""6"":18,""7"":43,""8"":87,""9"":100},""Saturday"":{""0"":25,""1"":37,""10"":37,""11"":31,""12"":31,""13"":25,""14"":25,""15"":50,""16"":68,""17"":87,""18"":68,""19"":50,""2"":56,""20"":37,""21"":37,""22"":37,""23"":18,""3"":62,""4"":81,""5"":75,""6"":62,""7"":31,""8"":31,""9"":50},""Sunday"":{""0"":25,""1"":31,""10"":12,""11"":18,""12"":25,""13"":43,""14"":50,""15"":56,""16"":37,""17"":18,""18"":18,""19"":37,""2"":31,""20"":31,""21"":25,""22"":12,""23"":18,""3"":31,""4"":50,""5"":37,""6"":25,""7"":37,""8"":31,""9"":25},""Thursday"":{""0"":62,""1"":43,""10"":25,""11"":37,""12"":50,""13"":62,""14"":37,""15"":31,""16"":43,""17"":62,""18"":37,""19"":18,""2"":37,""20"":25,""21"":25,""22"":43,""23"":43,""3"":18,""4"":25,""5"":25,""6"":18,""7"":37,""8"":25,""9"":31},""Tuesday"":{""0"":50,""1"":37,""10"":75,""11"":75,""12"":68,""13"":62,""14"":68,""15"":43,""16"":25,""17"":12,""18"":37,""19"":50,""2"":37,""20"":56,""21"":37,""22"":37,""23"":31,""3"":12,""4"":12,""5"":31,""6"":31,""7"":43,""8"":37,""9"":62},""Wednesday"":{""0"":37,""1"":50,""10"":31,""11"":31,""12"":18,""13"":31,""14"":43,""15"":50,""16"":37,""17"":43,""18"":43,""19"":25,""2"":37,""20"":18,""21"":12,""22"":18,""23"":31,""3"":31,""4"":56,""5"":50,""6"":56,""7"":31,""8"":25,""9"":25}}",,,"2VJ2+WM Hoàn Kiếm, Hà Nội",2.7,21.032338,105.851703,7566348280958508547,Mở cả ngày,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqyu_ZQ_7uWA11S8ZjPcws1x39JigZLirm0hS-dBifM__pbaAFteWJfybsrNMGTh_L1gyWz-MgyDR_YOGcEyE_jXV9sTF1guWTHWqwT2_RC3r13ydAkIUtvVJqOuKs8DeYLB1sZgg=w426-h240-k-no,Asia/Saigon,"{""id"":"""",""name"":""Vietcombank - Atm (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/Bidv+Atm/data=!4m7!3m6!1s0x3135a97d4766f5bf:0x3acb0016bcd82ebc!8m2!3d21!4d105!16s%2Fg%2F11n6zqk084!19sChIJv_VmR32pNTERvC7YvBYAyzo?authuser=0&hl=vi&rclk=1,Bidv Atm,ATM,"2VRG+7X4 Bidv Atm, P. Hoàng Như Tiếp, Bồ Đề, Long Biên, Hà Nội",{},{},,,,0.0,21.040639,105.877438,4236479972129648316,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npOJS5gv9odkGeUsIjSM98X9MSGS1DLqniHqKQMD6_7nxNQioz_Mhqx_6m5YH4nNn38p17FoVhDJxaH66d0QbcaWfnmralE97zbBTcpG0jMdTfejU9zOINjrmaeXJaU5uCkqVC-fA=w408-h544-k-no,Asia/Saigon,"{""id"":"""",""name"":""Bidv Atm (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/ATM+VPBank+CDM/data=!4m7!3m6!1s0x3135ab003b8f81ed:0x3f2b5f53a29467ea!8m2!3d21!4d105!16s%2Fg%2F11vpkyfz01!19sChIJ7YGPOwCrNTER6meUolNfKz8?authuser=0&hl=vi&rclk=1,ATM VPBank CDM,ATM,"70 Cửa Bắc, Quán Thánh, Ba Đình, Hà Nội","{""Chủ Nhật"":[""Mở cửa cả ngày""],""Thứ Ba"":[""Mở cửa cả ngày""],""Thứ Bảy"":[""Mở cửa cả ngày""],""Thứ Hai"":[""Mở cửa cả ngày""],""Thứ Năm"":[""Mở cửa cả ngày""],""Thứ Sáu"":[""Mở cửa cả ngày""],""Thứ Tư"":[""Mở cửa cả ngày""]}","{""Friday"":{""0"":47,""1"":37,""10"":80,""11"":67,""12"":40,""13"":27,""14"":22,""15"":30,""16"":47,""17"":72,""18"":65,""19"":62,""2"":37,""20"":45,""21"":40,""22"":50,""23"":60,""3"":35,""4"":50,""5"":50,""6"":62,""7"":65,""8"":75,""9"":85},""Monday"":{""0"":60,""1"":47,""10"":40,""11"":47,""12"":57,""13"":45,""14"":45,""15"":35,""16"":30,""17"":22,""18"":30,""19"":35,""2"":27,""20"":62,""21"":62,""22"":72,""23"":65,""3"":22,""4"":30,""5"":50,""6"":42,""7"":42,""8"":32,""9"":40},""Saturday"":{""0"":35,""1"":32,""10"":57,""11"":37,""12"":30,""13"":27,""14"":25,""15"":20,""16"":37,""17"":47,""18"":47,""19"":35,""2"":55,""20"":47,""21"":57,""22"":67,""23"":45,""3"":52,""4"":50,""5"":40,""6"":45,""7"":52,""8"":65,""9"":65},""Sunday"":{""0"":50,""1"":42,""10"":62,""11"":67,""12"":65,""13"":65,""14"":70,""15"":62,""16"":52,""17"":57,""18"":62,""19"":50,""2"":32,""20"":57,""21"":42,""22"":45,""23"":37,""3"":25,""4"":22,""5"":37,""6"":55,""7"":67,""8"":72,""9"":67},""Thursday"":{""0"":37,""1"":37,""10"":55,""11"":35,""12"":35,""13"":30,""14"":35,""15"":42,""16"":37,""17"":35,""18"":37,""19"":60,""2"":32,""20"":57,""21"":70,""22"":52,""23"":40,""3"":52,""4"":72,""5"":100,""6"":85,""7"":92,""8"":82,""9"":70},""Tuesday"":{""0"":52,""1"":70,""10"":30,""11"":42,""12"":70,""13"":60,""14"":47,""15"":35,""16"":27,""17"":32,""18"":37,""19"":50,""2"":80,""20"":42,""21"":47,""22"":50,""23"":57,""3"":67,""4"":50,""5"":37,""6"":40,""7"":40,""8"":35,""9"":25},""Wednesday"":{""0"":47,""1"":55,""10"":50,""11"":37,""12"":32,""13"":25,""14"":27,""15"":30,""16"":30,""17"":35,""18"":52,""19"":60,""2"":62,""20"":67,""21"":47,""22"":45,""23"":40,""3"":55,""4"":37,""5"":35,""6"":37,""7"":50,""8"":70,""9"":70}}",,,"2RVV+42 Ba Đình, Hà Nội",4.0,21.04285,105.842583,4551836661202577386,Mở cả ngày,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqwbwXz136sPyyYqrPw0Qv-XAuZi4PAle58dlsB-FhBikTwwnsxb3P_c0XWt0Sj03tdkheRYtewTuTcJ4oFFnC-BL4YnQ4hjcoU-OXzaGlz-vLEdJeeT_Yd3VzZydCCm9iPzy58=w408-h544-k-no,Asia/Saigon,"{""id"":"""",""name"":""ATM VPBank CDM (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/ATM+Vpbank/data=!4m7!3m6!1s0x3135abed21cb6bbb:0x9166d471e539eec7!8m2!3d21!4d105!16s%2Fg%2F1jkwh920d!19sChIJu2vLIe2rNTERx-455XHUZpE?authuser=0&hl=vi&rclk=1,ATM Vpbank,ATM,"Tai tam building, 39 P. Ngô Quyền, Phan Chu Trinh, Hoàn Kiếm, Hà Nội","{""Chủ Nhật"":[""Mở cửa cả ngày""],""Thứ Ba"":[""Mở cửa cả ngày""],""Thứ Bảy"":[""Mở cửa cả ngày""],""Thứ Hai"":[""Mở cửa cả ngày""],""Thứ Năm"":[""Mở cửa cả ngày""],""Thứ Sáu"":[""Mở cửa cả ngày""],""Thứ Tư"":[""Mở cửa cả ngày""]}","{""Friday"":{""0"":83,""1"":83,""10"":16,""11"":25,""12"":41,""13"":41,""14"":75,""15"":66,""16"":66,""17"":50,""18"":75,""19"":66,""2"":66,""20"":83,""21"":58,""22"":75,""23"":58,""3"":41,""4"":33,""5"":25,""6"":41,""7"":91,""8"":66,""9"":50},""Monday"":{""0"":41,""1"":58,""10"":50,""11"":25,""12"":41,""13"":33,""14"":25,""15"":50,""16"":58,""17"":66,""18"":33,""19"":25,""2"":75,""20"":8,""21"":16,""22"":33,""23"":33,""3"":83,""4"":66,""5"":33,""6"":25,""7"":33,""8"":75,""9"":75},""Saturday"":{""0"":50,""1"":58,""10"":58,""11"":50,""12"":25,""13"":33,""14"":33,""15"":33,""16"":16,""17"":16,""18"":25,""19"":66,""2"":58,""20"":66,""21"":91,""22"":66,""23"":83,""3"":33,""4"":25,""5"":50,""6"":66,""7"":91,""8"":100,""9"":83},""Sunday"":{""0"":66,""1"":58,""10"":33,""11"":25,""12"":33,""13"":41,""14"":58,""15"":50,""16"":66,""17"":50,""18"":75,""19"":66,""2"":50,""20"":66,""21"":41,""22"":41,""23"":50,""3"":41,""4"":58,""5"":75,""6"":50,""7"":58,""8"":83,""9"":83},""Thursday"":{""0"":25,""1"":33,""10"":75,""11"":58,""12"":75,""13"":50,""14"":58,""15"":41,""16"":66,""17"":66,""18"":66,""19"":66,""2"":41,""20"":66,""21"":83,""22"":58,""23"":41,""3"":41,""4"":16,""5"":8,""6"":8,""7"":25,""8"":41,""9"":50},""Tuesday"":{""0"":25,""1"":41,""10"":58,""11"":66,""12"":83,""13"":66,""14"":58,""15"":66,""16"":75,""17"":75,""18"":91,""19"":91,""2"":41,""20"":50,""21"":41,""22"":58,""23"":25,""3"":25,""4"":25,""5"":33,""6"":41,""7"":50,""8"":41,""9"":41},""Wednesday"":{""0"":75,""1"":83,""10"":41,""11"":50,""12"":41,""13"":16,""14"":16,""15"":25,""16"":33,""17"":33,""18"":25,""19"":8,""2"":91,""20"":16,""21"":25,""22"":41,""23"":58,""3"":83,""4"":66,""5"":41,""6"":33,""7"":25,""8"":25,""9"":16}}",,024 2220 5088,"2VC3+HM Hoàn Kiếm, Hà Nội",5.0,21.021455,105.854202,10477295168766209735,Mở cả ngày,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqV0rL9auTLcyrnebok7eCvxGgJO2lcehodvLj4236_YQ8H0sb3ydo6izqSOiKFO7B7RnJpkWJQyMNDTzxWzj36xm7fOh_NdzuOBWQxO_QxYlOFCBqvBp0_yw8TASW_O1lP1b59=w426-h240-k-no,Asia/Saigon,"{""id"":"""",""name"":""ATM Vpbank (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/VCB+ATM/data=!4m7!3m6!1s0x3135ab85778bcecd:0x921781abd73a12d4!8m2!3d21!4d105!16s%2Fg%2F11h2gp2v25!19sChIJzc6Ld4WrNTER1BI616uBF5I?authuser=0&hl=vi&rclk=1,VCB ATM,ATM,"34B P. Trần Phú, Điện Biên, Ba Đình, Hà Nội",{},{},,,"2RJV+57 Ba Đình, Hà Nội",4.0,21.030473,105.843151,10527025229052121812,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqk81-IBpPPRbPe1PKsiX7hIJ-prq1yYuKJ3ectLKEH2z0aGdr_hPdAgdc8QA2FkkKFayX4_Zw9CxN2go9nkO_vN4j7CyoDr4D_N6gQBf42eoMjHjCmFUyQ8GaSaMuIgFvIEc-T=w408-h544-k-no,Asia/Saigon,"{""id"":"""",""name"":""VCB ATM (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/ATM+Vietinbank+-+Vietinbank+Y%C3%AAn+Vi%C3%AAn/data=!4m7!3m6!1s0x3135a9d18efcc795:0x708d98447dead64d!8m2!3d21!4d105!16s%2Fg%2F11qxxvv6pb!19sChIJlcf8jtGpNTERTdbqfUSYjXA?authuser=0&hl=vi&rclk=1,ATM Vietinbank - Vietinbank Yên Viên,ATM,"282 Đường Đ. Hà Huy Tập, Yên Viên, Gia Lâm, Hà Nội",{},{},http://www.vietinbank.vn/,1900 545412,"3WM8+JF Gia Lâm, Hà Nội",4.0,21.084037,105.916241,8110305923901871693,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nobfrxKE1pHdiamfF3_xulUEBj6SxRyS2wJTm1fzOXnUuBlgMXMx7QhiqxWo8tNVK0BXYdwrAiORmmcsZmk6-h0wbv44-CF2lAkuRVu2faWUo_hPhGvzazaLPKRgE59x89KnUu89A=w408-h544-k-no,Asia/Saigon,"{""id"":"""",""name"":""ATM Vietinbank - Vietinbank Yên Viên (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/ATM+BIDV/data=!4m7!3m6!1s0x3135a9111c784a0f:0xa296cc23995e5e51!8m2!3d21!4d105!16s%2Fg%2F11g9nh9rqb!19sChIJD0p4HBGpNTERUV5emSPMlqI?authuser=0&hl=vi&rclk=1,ATM BIDV,ATM,"469 Đ. Nguyễn Văn Linh, Phúc Đồng, Long Biên, Hà Nội","{""Chủ Nhật"":[""Mở cửa cả ngày""],""Thứ Ba"":[""Mở cửa cả ngày""],""Thứ Bảy"":[""Mở cửa cả ngày""],""Thứ Hai"":[""Mở cửa cả ngày""],""Thứ Năm"":[""Mở cửa cả ngày""],""Thứ Sáu"":[""Mở cửa cả ngày""],""Thứ Tư"":[""Mở cửa cả ngày""]}","{""Friday"":{""0"":18,""1"":12,""10"":50,""11"":56,""12"":56,""13"":43,""14"":31,""15"":18,""16"":18,""17"":25,""18"":31,""19"":25,""2"":25,""20"":25,""21"":12,""22"":6,""23"":25,""3"":18,""4"":31,""5"":18,""6"":18,""7"":6,""8"":12,""9"":25},""Monday"":{""0"":75,""1"":93,""10"":31,""11"":18,""12"":12,""13"":31,""14"":12,""15"":12,""16"":25,""17"":31,""18"":43,""19"":50,""2"":93,""20"":56,""21"":43,""22"":37,""23"":56,""3"":62,""4"":50,""5"":31,""6"":31,""7"":31,""8"":50,""9"":50},""Saturday"":{""0"":31,""1"":37,""10"":6,""11"":6,""12"":6,""13"":6,""14"":37,""15"":68,""16"":100,""17"":81,""18"":62,""19"":31,""2"":43,""20"":31,""21"":50,""22"":50,""23"":43,""3"":37,""4"":31,""5"":31,""6"":50,""7"":75,""8"":43,""9"":25},""Sunday"":{""0"":50,""1"":62,""10"":18,""11"":25,""12"":56,""13"":100,""14"":81,""15"":62,""16"":31,""17"":25,""18"":18,""19"":25,""2"":75,""20"":18,""21"":6,""22"":12,""23"":25,""3"":56,""4"":37,""5"":25,""6"":25,""7"":50,""8"":75,""9"":50},""Thursday"":{""0"":43,""1"":43,""10"":25,""11"":31,""12"":37,""13"":62,""14"":43,""15"":56,""16"":37,""17"":31,""18"":37,""19"":31,""2"":43,""20"":25,""21"":6,""22"":12,""23"":25,""3"":37,""4"":37,""5"":37,""6"":31,""7"":37,""8"":37,""9"":37},""Tuesday"":{""0"":18,""1"":31,""10"":31,""11"":25,""12"":43,""13"":50,""14"":62,""15"":50,""16"":62,""17"":43,""18"":50,""19"":56,""2"":31,""20"":50,""21"":43,""22"":37,""23"":25,""3"":37,""4"":25,""5"":43,""6"":43,""7"":62,""8"":56,""9"":43},""Wednesday"":{""0"":50,""1"":56,""10"":37,""11"":25,""12"":18,""13"":31,""14"":31,""15"":56,""16"":50,""17"":43,""18"":37,""19"":50,""2"":62,""20"":62,""21"":68,""22"":68,""23"":68,""3"":56,""4"":43,""5"":37,""6"":12,""7"":12,""8"":18,""9"":50}}",,024 3875 6112,"2WM5+6F Long Biên, Hà Nội",5.0,21.03302,105.908628,11715775933919944273,Mở cả ngày,,,Asia/Saigon,"{""id"":"""",""name"":""ATM BIDV (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/ATM+Vietcombank/data=!4m7!3m6!1s0x3135a915b78d5f57:0x59ec9d3f6113018b!8m2!3d21!4d105!16s%2Fg%2F1jkvvy41w!19sChIJV1-NtxWpNTERiwETYT-d7Fk?authuser=0&hl=vi&rclk=1,ATM Vietcombank,ATM,"11 Công Nghiệp 4, Long Biên, Hà Nội","{""Chủ Nhật"":[""Mở cửa cả ngày""],""Thứ Ba"":[""Mở cửa cả ngày""],""Thứ Bảy"":[""Mở cửa cả ngày""],""Thứ Hai"":[""Mở cửa cả ngày""],""Thứ Năm"":[""Mở cửa cả ngày""],""Thứ Sáu"":[""Mở cửa cả ngày""],""Thứ Tư"":[""Mở cửa cả ngày""]}","{""Friday"":{""0"":42,""1"":15,""10"":21,""11"":21,""12"":26,""13"":47,""14"":63,""15"":68,""16"":100,""17"":89,""18"":63,""19"":57,""2"":10,""20"":47,""21"":36,""22"":42,""23"":36,""3"":15,""4"":15,""5"":10,""6"":21,""7"":42,""8"":47,""9"":42},""Monday"":{""0"":52,""1"":26,""10"":26,""11"":26,""12"":42,""13"":31,""14"":42,""15"":21,""16"":15,""17"":26,""18"":31,""19"":36,""2"":15,""20"":31,""21"":42,""22"":31,""23"":47,""3"":10,""4"":36,""5"":47,""6"":68,""7"":57,""8"":36,""9"":15},""Saturday"":{""0"":47,""1"":47,""10"":42,""11"":15,""12"":5,""13"":5,""14"":15,""15"":15,""16"":26,""17"":26,""18"":36,""19"":36,""2"":36,""20"":36,""21"":36,""22"":36,""23"":47,""3"":47,""4"":42,""5"":47,""6"":42,""7"":36,""8"":26,""9"":31},""Sunday"":{""0"":47,""1"":42,""10"":52,""11"":73,""12"":63,""13"":47,""14"":26,""15"":26,""16"":36,""17"":26,""18"":10,""19"":10,""2"":42,""20"":26,""21"":36,""22"":31,""23"":57,""3"":36,""4"":47,""5"":57,""6"":47,""7"":42,""8"":31,""9"":52},""Thursday"":{""0"":31,""1"":10,""10"":21,""11"":10,""12"":10,""13"":21,""14"":26,""15"":36,""16"":36,""17"":31,""18"":26,""19"":26,""2"":0,""20"":36,""21"":36,""22"":47,""23"":42,""3"":5,""4"":5,""5"":5,""6"":5,""7"":5,""8"":21,""9"":21},""Tuesday"":{""0"":10,""1"":31,""10"":21,""11"":31,""12"":42,""13"":57,""14"":47,""15"":52,""16"":57,""17"":57,""18"":31,""19"":15,""2"":47,""20"":5,""21"":5,""22"":10,""23"":5,""3"":57,""4"":63,""5"":42,""6"":26,""7"":21,""8"":15,""9"":10},""Wednesday"":{""0"":26,""1"":26,""10"":21,""11"":26,""12"":21,""13"":21,""14"":10,""15"":26,""16"":31,""17"":26,""18"":36,""19"":36,""2"":21,""20"":52,""21"":31,""22"":21,""23"":21,""3"":31,""4"":36,""5"":57,""6"":52,""7"":52,""8"":52,""9"":36}}",,1900 545413,"2WH3+2G Long Biên, Hà Nội",3.4,21.027589,105.903814,6479726859416437131,Mở cả ngày,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq80gn5v7QwtRNxXZPItTK8zp2wI8H_MNlffaPFMYOdG5yCjXmO4krrzkb2zfoAGJKqJIcQ38EC6QObeFXl5stodPza1XqczvGjV8iUo4-X6c8e7aTngVwNbwX5DC706xY85mNa7w=w408-h725-k-no,Asia/Saigon,"{""id"":"""",""name"":""ATM Vietcombank (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/ATM+Sacombank/data=!4m7!3m6!1s0x3135a95156bb12bd:0xa943bbbe3906b3b1!8m2!3d21!4d105!16s%2Fg%2F11xgfk3kvh!19sChIJvRK7VlGpNTERsbMGOb67Q6k?authuser=0&hl=vi&rclk=1,ATM Sacombank,ATM,"Khu Trung Đoàn 918, Long Biên, Hà Nội","{""Chủ Nhật"":[""Mở cửa cả ngày""],""Thứ Ba"":[""Mở cửa cả ngày""],""Thứ Bảy"":[""Mở cửa cả ngày""],""Thứ Hai"":[""Mở cửa cả ngày""],""Thứ Năm"":[""Mở cửa cả ngày""],""Thứ Sáu"":[""Mở cửa cả ngày""],""Thứ Tư"":[""Mở cửa cả ngày""]}",{},https://www.sacombank.com.vn/ca-nhan.html,1800 585888,"2VQW+38 Long Biên, Hà Nội",0.0,21.03774,105.89578,12196798641524356017,Mở cả ngày,,https://lh3.googleusercontent.com/p/AF1QipMc25vSOEmFaasrAZ4rfT9O059670PQVlTpHdVD=w408-h408-k-no,Asia/Saigon,"{""id"":""115349891482227615223"",""name"":""ATM Sacombank (Chủ sở hữu)"",""link"":""https://www.google.com/maps/contrib/115349891482227615223""}"
https://www.google.com/maps/place/Maritimebank+-+Atm/data=!4m7!3m6!1s0x3135a9bbca410b4b:0xbee73301614a9fee!8m2!3d21!4d105!16s%2Fg%2F1jkwf6lhq!19sChIJSwtByrupNTER7p9KYQEz574?authuser=0&hl=vi&rclk=1,Maritimebank - Atm,ATM,"1212 P. Nguyễn Cao Luyện, Giang Biên, Long Biên, Hà Nội",{},{},,,"3W75+Q7 Long Biên, Hà Nội",0.0,21.064421,105.908209,13756019667846733806,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrFjv975oPVlkv_riBvsAqbCFcJSb01cn5ICQxnvKS6M39XApJZADSipyyXWyXnD3t11R7DKJZ0RkPUB_e6aAAnZvxfMH5GkUWUcoGQ8QsDi1DXs_asEnDy_IzS-cxx0bursCaI2Q=w408-h725-k-no,Asia/Saigon,"{""id"":"""",""name"":""Maritimebank - Atm (Chủ sở hữu)"",""link"":""""}"
