link,title,category,address,open_hours,popular_times,website,phone,plus_code,review_rating,latitude,longitude,cid,status,descriptions,thumbnail,timezone,owner
https://www.google.com/maps/place/Vietnam+-+Russia+Joint+Venture+Bank/data=!4m7!3m6!1s0x3135ab9ea3c9c02b:0xf4cbe69d5ca61ed9!8m2!3d21!4d105!16s%2Fg%2F11k5lwbc0s!19sChIJK8DJo56rNTER2R6mXJ3my_Q?authuser=0&hl=vi&rclk=1,Vietnam - Russia Joint Venture Bank,Ngân hàng,"108 P.Tôn Đức Thắng, Văn Miếu – Quốc Tử Giám, Đống Đa, Hà Nội",{},{},,,"2RGM+QC Đống Đa, Hà Nội",5.0,21.026887,105.833574,17639445929065324249,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr5DXX0NE9XtZPchfZcMmv_fF7QeDCsU5X0CDM0C5nyQSWtT3rC7KujbMuNlHAbEUvR9ihWPwB1JfIgXpggIGbDsie9vHrMmCfn0Qo8jGFa7MTGVFxTuPx0_XTNJvtoF_xHGwgTQw=w408-h306-k-no,Asia/Saigon,"{""id"":"""",""name"":""Vietnam - Russia Joint Venture Bank (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/Ng%C3%A2n+H%C3%A0ng+Tmcp+S%C3%A0i+G%C3%B2n+-+H%C3%A0+N%E1%BB%99i+%28+Shb+Bank%29/data=!4m7!3m6!1s0x3135abbfc179e827:0xc0fbce19dea3f215!8m2!3d21!4d105!16s%2Fg%2F1jkwb6lbv!19sChIJJ-h5wb-rNTERFfKj3hnO-8A?authuser=0&hl=vi&rclk=1,Ngân Hàng Tmcp Sài Gòn - Hà Nội ( Shb Bank),Ngân hàng,"8 Ng. Hàng Hành, Hàng Trống, Hoàn Kiếm, Hà Nội","{""Chủ Nhật"":[""Mở cửa cả ngày""],""Thứ Ba"":[""Mở cửa cả ngày""],""Thứ Bảy"":[""Mở cửa cả ngày""],""Thứ Hai"":[""Mở cửa cả ngày""],""Thứ Năm"":[""Mở cửa cả ngày""],""Thứ Sáu"":[""Mở cửa cả ngày""],""Thứ Tư"":[""Mở cửa cả ngày""]}","{""Friday"":{""0"":37,""1"":12,""10"":37,""11"":31,""12"":18,""13"":18,""14"":37,""15"":43,""16"":25,""17"":18,""18"":37,""19"":50,""2"":12,""20"":25,""21"":37,""22"":50,""23"":50,""3"":18,""4"":25,""5"":25,""6"":43,""7"":56,""8"":56,""9"":50},""Monday"":{""0"":18,""1"":31,""10"":6,""11"":12,""12"":25,""13"":18,""14"":37,""15"":50,""16"":56,""17"":37,""18"":37,""19"":37,""2"":37,""20"":56,""21"":56,""22"":56,""23"":31,""3"":37,""4"":31,""5"":50,""6"":31,""7"":37,""8"":25,""9"":18},""Saturday"":{""0"":37,""1"":62,""10"":12,""11"":18,""12"":18,""13"":43,""14"":43,""15"":43,""16"":56,""17"":62,""18"":62,""19"":43,""2"":37,""20"":56,""21"":56,""22"":43,""23"":37,""3"":50,""4"":81,""5"":81,""6"":56,""7"":43,""8"":25,""9"":25},""Sunday"":{""0"":18,""1"":37,""10"":31,""11"":43,""12"":56,""13"":56,""14"":37,""15"":50,""16"":37,""17"":56,""18"":50,""19"":75,""2"":62,""20"":62,""21"":62,""22"":50,""23"":25,""3"":50,""4"":25,""5"":12,""6"":6,""7"":18,""8"":18,""9"":18},""Thursday"":{""0"":43,""1"":18,""10"":12,""11"":0,""12"":12,""13"":25,""14"":43,""15"":31,""16"":68,""17"":68,""18"":100,""19"":75,""2"":25,""20"":56,""21"":31,""22"":50,""23"":37,""3"":25,""4"":31,""5"":25,""6"":43,""7"":37,""8"":31,""9"":25},""Tuesday"":{""0"":6,""1"":6,""10"":62,""11"":75,""12"":43,""13"":37,""14"":25,""15"":37,""16"":37,""17"":31,""18"":18,""19"":12,""2"":6,""20"":0,""21"":6,""22"":18,""23"":12,""3"":18,""4"":31,""5"":31,""6"":37,""7"":56,""8"":62,""9"":68},""Wednesday"":{""0"":31,""1"":12,""10"":12,""11"":18,""12"":25,""13"":25,""14"":50,""15"":37,""16"":56,""17"":56,""18"":62,""19"":43,""2"":0,""20"":25,""21"":25,""22"":25,""23"":31,""3"":12,""4"":12,""5"":43,""6"":43,""7"":43,""8"":31,""9"":31}}",https://www.shb.com.vn/,024 6270 0420,"2VJ2+P6 Hoàn Kiếm, Hà Nội",3.5,21.031789,105.850617,13905934884941328917,Mở cả ngày,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrGRYcWZdLr047-N3iu0MXimrql5w0z2-dpKl722tU6VZpfirMceM6T0io-4qc6RnXHeC09jBZYAJwaR0QrF5wuTRpMm3zWWW_pJl9F_2skj8Vo0THLbeaY9WaQJCxdVzAQ-woK=w408-h272-k-no,Asia/Saigon,"{""id"":"""",""name"":""Ngân Hàng Tmcp Sài Gòn - Hà Nội ( Shb Bank) (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/GP+Bank+Tr%E1%BA%A7n+H%C6%B0ng+%C4%90%E1%BA%A1o/data=!4m7!3m6!1s0x3135ab909400fe27:0xe223faf527c63323!8m2!3d21!4d105!16s%2Fg%2F1hc440qn1!19sChIJJ_4AlJCrNTERIzPGJ_X6I-I?authuser=0&hl=vi&rclk=1,GP Bank Trần Hưng Đạo,Ngân hàng,"109 Trần Hưng Đạo, Cửa Nam, Hoàn Kiếm, Hà Nội",{},{},,024 3734 5345,"2RFR+FR Hoàn Kiếm, Hà Nội",4.0,21.023738,105.842035,16295143807597818659,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrPbsoO12ArS4qxeeco5tTupKSnWKTJ-8z1Z8g0l1AewI1LAkjPHB8CX_3UV6j2TER6-yCdSNWFbZnDkvqje0MafX0Mdc_Ffwn4scFCvAVh66egam_0i3FUgdlWfc_NpHNw59pv=w408-h544-k-no,Asia/Saigon,"{""id"":"""",""name"":""GP Bank Trần Hưng Đạo (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/TPBank+Ho%C3%A0n+Ki%E1%BA%BFm/data=!4m7!3m6!1s0x3135abec4da1adcb:0x5fc2b305a8a3bcdd!8m2!3d21!4d105!16s%2Fg%2F11b6_j_45l!19sChIJy62hTeyrNTER3byjqAWzwl8?authuser=0&hl=vi&rclk=1,TPBank Hoàn Kiếm,Ngân hàng,"38-40 P. Hàng Da, Hàng Bông, Hoàn Kiếm, Hà Nội 100000","{""Chủ Nhật"":[""Đóng cửa""],""Thứ Ba"":[""08:00–17:00""],""Thứ Bảy"":[""08:00–11:30""],""Thứ Hai"":[""08:00–17:00""],""Thứ Năm"":[""08:00–17:00""],""Thứ Sáu"":[""08:00–17:00""],""Thứ Tư"":[""08:00–17:00""]}","{""Friday"":{""10"":64,""11"":51,""12"":48,""13"":54,""14"":61,""15"":54,""16"":35,""17"":0,""18"":0,""19"":0,""20"":0,""21"":0,""22"":0,""23"":0,""6"":0,""7"":0,""8"":67,""9"":67},""Monday"":{""10"":83,""11"":62,""12"":50,""13"":51,""14"":64,""15"":59,""16"":54,""17"":0,""18"":0,""19"":0,""20"":0,""21"":0,""22"":0,""23"":0,""6"":0,""7"":0,""8"":87,""9"":87},""Saturday"":{""10"":59,""11"":38,""12"":0,""13"":0,""14"":0,""15"":0,""16"":0,""17"":0,""18"":0,""19"":0,""20"":0,""21"":0,""22"":0,""23"":0,""6"":0,""7"":0,""8"":79,""9"":80},""Sunday"":{},""Thursday"":{""10"":90,""11"":69,""12"":54,""13"":43,""14"":43,""15"":41,""16"":35,""17"":0,""18"":0,""19"":0,""20"":0,""21"":0,""22"":0,""23"":0,""6"":0,""7"":0,""8"":77,""9"":87},""Tuesday"":{""10"":98,""11"":77,""12"":66,""13"":54,""14"":61,""15"":59,""16"":50,""17"":0,""18"":0,""19"":0,""20"":0,""21"":0,""22"":0,""23"":0,""6"":0,""7"":0,""8"":82,""9"":100},""Wednesday"":{""10"":90,""11"":77,""12"":61,""13"":38,""14"":40,""15"":41,""16"":54,""17"":0,""18"":0,""19"":0,""20"":0,""21"":0,""22"":0,""23"":0,""6"":0,""7"":0,""8"":80,""9"":82}}",,024 3768 3683,"2RJW+6J Hoàn Kiếm, Hà Nội",4.1,21.030514,105.846564,6900274415970532573,Đã đóng cửa ⋅ Mở lúc 8:00 Th 7,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noKqxkYxVYZ4BU2skYZ466kmR1xJVWaUPt2s_efMhCHxgxbKAvzzh8pn3mwg0WpwiJ3R1vx3_Isj0vM6yc9ZbUZ9S7bw4-IU5fZlcVnC3HavXGgEYGXV4bVRp4T8R3FA2-p7DI9IA=w408-h544-k-no,Asia/Saigon,"{""id"":""108105981724377583006"",""name"":""TPBank Hoàn Kiếm (Chủ sở hữu)"",""link"":""https://www.google.com/maps/contrib/108105981724377583006""}"
https://www.google.com/maps/place/Hongleong+Bank/data=!4m7!3m6!1s0x3135ab90d0eb4f1b:0xf72f57136a8a6d20!8m2!3d21!4d105!16s%2Fg%2F11nx1z33lz!19sChIJG0_r0JCrNTERIG2KahNXL_c?authuser=0&hl=vi&rclk=1,Hongleong Bank,Ngân hàng,"30 P. Phan Bội Châu, Cửa Nam, Hoàn Kiếm, Hà Nội",{},{},,,"2RFV+W8 Hoàn Kiếm, Hà Nội",5.0,21.024842,105.843301,17811550792177052960,,,,Asia/Saigon,"{""id"":"""",""name"":""Hongleong Bank (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/Bac+A+Bank@+Ha+Trung+Transactions+Office/data=!4m7!3m6!1s0x3135ab9616792479:0x1b69340588564c3a!8m2!3d21!4d105!16s%2Fg%2F11rchs6nv!19sChIJeSR5FparNTEROkxWiAU0aRs?authuser=0&hl=vi&rclk=1,Bac A Bank@ Ha Trung Transactions Office,Ngân hàng,"57 P. Hà Trung, Hàng Bông, Hoàn Kiếm, Hà Nội",{},{},,024 3938 1055,"2RJW+24 Hoàn Kiếm, Hà Nội",5.0,21.030072,105.845348,1975167109945510970,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqhz3wySRV0cc2SmZ_FTqUVo5THWVDFHO2LWqe_7JJOA1yrFAGVlyHSbMu76nwJAfb3XWg33Na5X81sdY0aBY7Pa6F2nQ4moRXiJSDjZhNR55OhbTOQAMR7-92WxtGMUIlkTDJp0A=w408-h883-k-no,Asia/Saigon,"{""id"":"""",""name"":""Bac A Bank@ Ha Trung Transactions Office (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/Saigon+Commercial+Bank/data=!4m7!3m6!1s0x3135abc02a2313f9:0x26a57d01cb9c5f4b!8m2!3d21!4d105!16s%2Fg%2F11f54252wj!19sChIJ-RMjKsCrNTERS1-cywF9pSY?authuser=0&hl=vi&rclk=1,Saigon Commercial Bank,Ngân hàng,"15 P. Lý Thái Tổ, Lý Thái Tổ, Hoàn Kiếm, Hà Nội",{},{},,,"2VJ3+8X Hoàn Kiếm, Hà Nội",0.0,21.030767,105.854963,2784769391262981963,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqz8e6s0FsP_eGYj6nidclULoj6W-FKs6IbgF3-JXoht1kwMeKuCBa2bViBYuELJdQf56atqpw1dVuXvOk9yio56E76xmEfQgY8WmoX70PI2bzNZzkcTMpapLsC94crKepa-t6n=w408-h306-k-no,Asia/Saigon,"{""id"":"""",""name"":""Saigon Commercial Bank (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/Ng%C3%A2n+H%C3%A0ng+B%E1%BA%AFc+%C3%81+-+Bac+A+Bank+@+Ph%C3%B2ng+Giao+D%E1%BB%8Bch+H%C3%A0ng+B%C3%B4ng/data=!4m7!3m6!1s0x3135ab96725c2ce7:0xc05cf947f1117c72!8m2!3d21!4d105!16s%2Fg%2F1pztwwbtv!19sChIJ5yxccparNTERcnwR8Uf5XMA?authuser=0&hl=vi&rclk=1,Ngân Hàng Bắc Á - Bac A Bank @ Phòng Giao Dịch Hàng Bông,Ngân hàng,"133 P. Hàng Bông, Hàng Bông, Hoàn Kiếm, Hà Nội",{},{},,024 3928 8826,"2RHW+Q7 Hoàn Kiếm, Hà Nội",4.0,21.029423,105.845691,13861227840521993330,,,,Asia/Saigon,"{""id"":"""",""name"":""Ngân Hàng Bắc Á - Bac A Bank @ Phòng Giao Dịch Hàng Bông (Chủ sở hữu)"",""link"":""""}"
https://www.google.com/maps/place/Woori+Bank+Vietnam+Hoan+Kiem+branch+-+Ng%C3%A2n+h%C3%A0ng+Woori+Vi%E1%BB%87t+Nam+%28%EC%9A%B0%EB%A6%AC%EC%9D%80%ED%96%89+%EB%B2%A0%ED%8A%B8%EB%82%A8%29/data=!4m7!3m6!1s0x3135ad720c60248f:0xe623de24a8f01d87!8m2!3d21!4d105!16s%2Fg%2F11frdgk2k6!19sChIJjyRgDHKtNTERhx3wqCTeI-Y?authuser=0&hl=vi&rclk=1,Woori Bank Vietnam Hoan Kiem branch - Ngân hàng Woori Việt Nam (우리은행 베트남),Ngân hàng,"toà nhà Asia Tower, 6 P. Nhà Thờ, Hàng Trống, Hoàn Kiếm, Hà Nội 10000","{""Chủ Nhật"":[""Đóng cửa""],""Thứ Ba"":[""08:30–12:00"",""13:00–16:30""],""Thứ Bảy"":[""Đóng cửa""],""Thứ Hai"":[""08:30–12:00"",""13:00–16:30""],""Thứ Năm"":[""08:30–12:00"",""13:00–16:30""],""Thứ Sáu"":[""08:30–12:00"",""13:00–16:30""],""Thứ Tư"":[""08:30–12:00"",""13:00–16:30""]}",{},https://www.woori.com.vn/vn/ib/main/IbMain.do,024 3204 5203,"2VH2+P4 Hoàn Kiếm, Hà Nội",4.8,21.029253,105.850268,16583342501942795655,Đã đóng cửa ⋅ Mở lúc 8:30 Th 2,,https://lh3.googleusercontent.com/p/AF1QipPiV_MlFO_ulrjy-AEh7-pb98o58FPpmTofFjpA=w426-h240-k-no,Asia/Saigon,"{""id"":""108418203402613852446"",""name"":""Woori Bank Vietnam Hoan Kiem branch - Ngân hàng Woori Việt Nam (우리은행 베트남) (Chủ sở hữu)"",""link"":""https://www.google.com/maps/contrib/108418203402613852446""}"
https://www.google.com/maps/place/PG+BANK/data=!4m7!3m6!1s0x3135ab0bca473575:0x793aaf643013ad0a!8m2!3d21!4d105!16s%2Fg%2F11f61snzyb!19sChIJdTVHygurNTERCq0TMGSvOnk?authuser=0&hl=vi&rclk=1,PG BANK,Ngân hàng,"2RMW+3FH PG BANK, Phố cổ Hà Nội, Hoàn Kiếm, Hà Nội",{},{},,,,3.0,21.032699,105.846243,8735487272076684554,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nojSxepqiIK4oiqpr8uqt2__BwwEVU3X5Yvd8616YBCj5NLUqvJW46Upbgc3CEPlopp5Yln8BFjifduvFw_TzwVBEuFlET5esKLSgBGXMOwQUaI0Fj1ya0PZQyOGECWoH3oID4=w408-h544-k-no,Asia/Saigon,"{""id"":"""",""name"":""PG BANK (Chủ sở hữu)"",""link"":""""}"
